Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Residencia: Nivel 1;Residencia: Nivel 2;Viajeros y pernoctaciones;Periodo;Total
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2022M08;9.586.906
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2022M07;9.450.208
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2022M06;8.130.054
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2022M05;5.851.595
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2022M04;2.479.457
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2022M03;639.551
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2022M02;203.335
Total Nacional;04 Balears, Illes;07 Balears, Illes;Total;Residentes en el Extranjero;Pernoctaciones;2022M01;82.953
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2025M03;283.856
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2025M02;256.257
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2025M01;232.305
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2024M12;268.215
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2024M11;279.692
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2024M10;291.089
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2024M09;273.319
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2024M08;260.540
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2024M07;309.141
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2024M06;317.188
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2024M05;287.073
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2024M04;275.683
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2024M03;290.694
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2024M02;255.670
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2024M01;231.739
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2023M12;260.712
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2023M11;272.902
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2023M10;315.869
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2023M09;290.347
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2023M08;280.876
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2023M07;337.404
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2023M06;330.907
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2023M05;339.829
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2023M04;298.082
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2023M03;312.242
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2023M02;252.316
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2023M01;249.509
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2022M12;264.577
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2022M11;267.015
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2022M10;316.090
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2022M09;296.716
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2022M08;283.775
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2022M07;335.624
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2022M06;303.980
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2022M05;292.049
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2022M04;297.090
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2022M03;258.640
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2022M02;220.732
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Viajero;2022M01;183.731
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2025M03;525.225
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2025M02;429.593
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2025M01;430.151
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2024M12;474.251
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2024M11;507.070
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2024M10;567.185
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2024M09;531.917
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2024M08;601.364
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2024M07;634.205
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2024M06;619.214
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2024M05;585.137
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2024M04;551.299
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2024M03;564.127
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2024M02;484.989
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2024M01;435.764
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2023M12;472.811
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2023M11;492.263
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2023M10;589.710
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2023M09;555.333
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2023M08;649.993
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2023M07;694.572
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2023M06;632.369
Total Nacional;09 Cataluña;08 Barcelona;Total;Residentes en España;Pernoctaciones;2023M05;649.336
