RESIDENCIA/ORIGEN;Países;Viajeros y pernoctaciones;Periodo;Total
Total;Finlandia;Viajero;2023M06;22.980
Total;Finlandia;Viajero;2023M05;23.461
Total;Finlandia;Viajero;2023M04;30.880
Total;Finlandia;Viajero;2023M03;37.257
Total;Finlandia;Viajero;2023M02;32.467
Total;Finlandia;Viajero;2023M01;29.444
Total;Finlandia;Viajero;2022M12;31.494
Total;Finlandia;Viajero;2022M11;37.091
Total;Finlandia;Viajero;2022M10;38.249
Total;Finlandia;Viajero;2022M09;22.354
Total;Finlandia;Viajero;2022M08;15.675
Total;Finlandia;Viajero;2022M07;24.477
Total;Finlandia;Viajero;2022M06;24.676
Total;Finlandia;Viajero;2022M05;25.211
Total;Finlandia;Viajero;2022M04;24.642
Total;Finlandia;Viajero;2022M03;27.919
Total;Finlandia;Pernoctaciones;2025M03;216.241
Total;Finlandia;Pernoctaciones;2025M02;193.950
Total;Finlandia;Pernoctaciones;2025M01;177.652
Total;Finlandia;Pernoctaciones;2024M12;211.184
Total;Finlandia;Pernoctaciones;2024M11;230.542
Total;Finlandia;Pernoctaciones;2024M10;227.566
Total;Finlandia;Pernoctaciones;2024M09;101.958
Total;Finlandia;Pernoctaciones;2024M08;48.005
Total;Finlandia;Pernoctaciones;2024M07;86.127
Total;Finlandia;Pernoctaciones;2024M06;94.542
Total;Finlandia;Pernoctaciones;2024M05;121.403
Total;Finlandia;Pernoctaciones;2024M04;156.010
Total;Finlandia;Pernoctaciones;2024M03;259.651
Total;Finlandia;Pernoctaciones;2024M02;227.853
Total;Finlandia;Pernoctaciones;2024M01;226.174
Total;Finlandia;Pernoctaciones;2023M12;224.511
Total;Finlandia;Pernoctaciones;2023M11;274.594
Total;Finlandia;Pernoctaciones;2023M10;219.136
Total;Finlandia;Pernoctaciones;2023M09;94.416
Total;Finlandia;Pernoctaciones;2023M08;55.414
Total;Finlandia;Pernoctaciones;2023M07;87.327
Total;Finlandia;Pernoctaciones;2023M06;84.245
Total;Finlandia;Pernoctaciones;2023M05;85.167
Total;Finlandia;Pernoctaciones;2023M04;139.428
Total;Finlandia;Pernoctaciones;2023M03;196.226
Total;Finlandia;Pernoctaciones;2023M02;179.528
Total;Finlandia;Pernoctaciones;2023M01;175.225
Total;Finlandia;Pernoctaciones;2022M12;191.414
Total;Finlandia;Pernoctaciones;2022M11;216.982
Total;Finlandia;Pernoctaciones;2022M10;177.537
Total;Finlandia;Pernoctaciones;2022M09;73.632
Total;Finlandia;Pernoctaciones;2022M08;60.202
Total;Finlandia;Pernoctaciones;2022M07;96.548
Total;Finlandia;Pernoctaciones;2022M06;88.595
Total;Finlandia;Pernoctaciones;2022M05;89.116
Total;Finlandia;Pernoctaciones;2022M04;106.700
Total;Finlandia;Pernoctaciones;2022M03;140.949
Total;Francia;Viajero;2025M03;325.921
Total;Francia;Viajero;2025M02;314.559
Total;Francia;Viajero;2025M01;250.257
Total;Francia;Viajero;2024M12;282.238
Total;Francia;Viajero;2024M11;292.503
Total;Francia;Viajero;2024M10;662.396
Total;Francia;Viajero;2024M09;637.240
Total;Francia;Viajero;2024M08;1.062.651
Total;Francia;Viajero;2024M07;726.109
Total;Francia;Viajero;2024M06;567.874
Total;Francia;Viajero;2024M05;814.599
Total;Francia;Viajero;2024M04;627.669
Total;Francia;Viajero;2024M03;344.693
Total;Francia;Viajero;2024M02;304.882
Total;Francia;Viajero;2024M01;243.554
Total;Francia;Viajero;2023M12;284.341
Total;Francia;Viajero;2023M11;279.934
Total;Francia;Viajero;2023M10;621.677
Total;Francia;Viajero;2023M09;625.640
Total;Francia;Viajero;2023M08;1.013.707
Total;Francia;Viajero;2023M07;737.817
Total;Francia;Viajero;2023M06;554.215
Total;Francia;Viajero;2023M05;770.117
Total;Francia;Viajero;2023M04;595.525
Total;Francia;Viajero;2023M03;316.646
Total;Francia;Viajero;2023M02;295.528
Total;Francia;Viajero;2023M01;224.999
Total;Francia;Viajero;2022M12;272.172
Total;Francia;Viajero;2022M11;283.356
Total;Francia;Viajero;2022M10;598.164
Total;Francia;Viajero;2022M09;594.211
Total;Francia;Viajero;2022M08;1.054.575
Total;Francia;Viajero;2022M07;748.958
Total;Francia;Viajero;2022M06;557.755
Total;Francia;Viajero;2022M05;688.452
Total;Francia;Viajero;2022M04;509.757
Total;Francia;Viajero;2022M03;276.873
Total;Francia;Pernoctaciones;2025M03;878.490
Total;Francia;Pernoctaciones;2025M02;863.678
Total;Francia;Pernoctaciones;2025M01;712.226
Total;Francia;Pernoctaciones;2024M12;700.488
Total;Francia;Pernoctaciones;2024M11;738.702
Total;Francia;Pernoctaciones;2024M10;1.966.848
Total;Francia;Pernoctaciones;2024M09;2.038.975
Total;Francia;Pernoctaciones;2024M08;3.678.715
Total;Francia;Pernoctaciones;2024M07;2.447.036
Total;Francia;Pernoctaciones;2024M06;1.791.538
Total;Francia;Pernoctaciones;2024M05;2.460.504
Total;Francia;Pernoctaciones;2024M04;1.811.510
Total;Francia;Pernoctaciones;2024M03;947.890
Total;Francia;Pernoctaciones;2024M02;822.411
Total;Francia;Pernoctaciones;2024M01;672.760
Total;Francia;Pernoctaciones;2023M12;703.630
Total;Francia;Pernoctaciones;2023M11;741.958
Total;Francia;Pernoctaciones;2023M10;1.847.246
Total;Francia;Pernoctaciones;2023M09;1.963.100
Total;Francia;Pernoctaciones;2023M08;3.530.465
Total;Francia;Pernoctaciones;2023M07;2.378.675
Total;Francia;Pernoctaciones;2023M06;1.665.248
Total;Francia;Pernoctaciones;2023M05;2.214.128
Total;Francia;Pernoctaciones;2023M04;1.737.664
Total;Francia;Pernoctaciones;2023M03;840.882
Total;Francia;Pernoctaciones;2023M02;830.127
Total;Francia;Pernoctaciones;2023M01;634.540
Total;Francia;Pernoctaciones;2022M12;713.753
Total;Francia;Pernoctaciones;2022M11;732.149
Total;Francia;Pernoctaciones;2022M10;1.745.157
Total;Francia;Pernoctaciones;2022M09;1.837.514
Total;Francia;Pernoctaciones;2022M08;3.699.046
Total;Francia;Pernoctaciones;2022M07;2.382.480
Total;Francia;Pernoctaciones;2022M06;1.651.129
Total;Francia;Pernoctaciones;2022M05;1.963.996
Total;Francia;Pernoctaciones;2022M04;1.486.007
Total;Francia;Pernoctaciones;2022M03;767.468
Total;Grecia;Viajero;2025M03;15.759
Total;Grecia;Viajero;2025M02;13.541
Total;Grecia;Viajero;2025M01;13.120
Total;Grecia;Viajero;2024M12;11.242
Total;Grecia;Viajero;2024M11;13.386
Total;Grecia;Viajero;2024M10;14.462
Total;Grecia;Viajero;2024M09;14.661
Total;Grecia;Viajero;2024M08;16.677
Total;Grecia;Viajero;2024M07;15.354
Total;Grecia;Viajero;2024M06;16.645
Total;Grecia;Viajero;2024M05;16.718
Total;Grecia;Viajero;2024M04;15.050
Total;Grecia;Viajero;2024M03;14.709
Total;Grecia;Viajero;2024M02;12.941
Total;Grecia;Viajero;2024M01;11.527
Total;Grecia;Viajero;2023M12;13.188
Total;Grecia;Viajero;2023M11;14.218
Total;Grecia;Viajero;2023M10;14.706
Total;Grecia;Viajero;2023M09;13.487
Total;Grecia;Viajero;2023M08;17.091
Total;Grecia;Viajero;2023M07;14.547
Total;Grecia;Viajero;2023M06;14.364
Total;Grecia;Viajero;2023M05;12.464
Total;Grecia;Viajero;2023M04;17.258
Total;Grecia;Viajero;2023M03;12.056
Total;Grecia;Viajero;2023M02;10.237
Total;Grecia;Viajero;2023M01;8.761
Total;Grecia;Viajero;2022M12;9.732
Total;Grecia;Viajero;2022M11;12.329
Total;Grecia;Viajero;2022M10;14.643
Total;Grecia;Viajero;2022M09;11.564
Total;Grecia;Viajero;2022M08;15.937
Total;Grecia;Viajero;2022M07;13.561
Total;Grecia;Viajero;2022M06;12.880
Total;Grecia;Viajero;2022M05;13.137
Total;Grecia;Viajero;2022M04;12.221
Total;Grecia;Viajero;2022M03;9.250
Total;Grecia;Pernoctaciones;2025M03;42.951
Total;Grecia;Pernoctaciones;2025M02;41.681
Total;Grecia;Pernoctaciones;2025M01;32.564
Total;Grecia;Pernoctaciones;2024M12;35.491
Total;Grecia;Pernoctaciones;2024M11;37.177
Total;Grecia;Pernoctaciones;2024M10;40.378
Total;Grecia;Pernoctaciones;2024M09;39.476
Total;Grecia;Pernoctaciones;2024M08;47.147
Total;Grecia;Pernoctaciones;2024M07;46.005
Total;Grecia;Pernoctaciones;2024M06;44.344
Total;Grecia;Pernoctaciones;2024M05;45.445
Total;Grecia;Pernoctaciones;2024M04;39.956
Total;Grecia;Pernoctaciones;2024M03;47.870
Total;Grecia;Pernoctaciones;2024M02;43.229
Total;Grecia;Pernoctaciones;2024M01;29.472
Total;Grecia;Pernoctaciones;2023M12;38.730
Total;Grecia;Pernoctaciones;2023M11;38.322
Total;Grecia;Pernoctaciones;2023M10;41.673
Total;Grecia;Pernoctaciones;2023M09;37.638
Total;Grecia;Pernoctaciones;2023M08;50.242
Total;Grecia;Pernoctaciones;2023M07;44.515
Total;Grecia;Pernoctaciones;2023M06;38.133
Total;Grecia;Pernoctaciones;2023M05;35.980
Total;Grecia;Pernoctaciones;2023M04;51.925
Total;Grecia;Pernoctaciones;2023M03;39.390
Total;Grecia;Pernoctaciones;2023M02;35.046
Total;Grecia;Pernoctaciones;2023M01;26.684
Total;Grecia;Pernoctaciones;2022M12;28.878
Total;Grecia;Pernoctaciones;2022M11;38.446
Total;Grecia;Pernoctaciones;2022M10;43.164
Total;Grecia;Pernoctaciones;2022M09;32.626
Total;Grecia;Pernoctaciones;2022M08;48.321
Total;Grecia;Pernoctaciones;2022M07;40.740
Total;Grecia;Pernoctaciones;2022M06;38.978
Total;Grecia;Pernoctaciones;2022M05;40.031
Total;Grecia;Pernoctaciones;2022M04;36.685
Total;Grecia;Pernoctaciones;2022M03;32.982
Total;Irlanda;Viajero;2025M03;92.158
Total;Irlanda;Viajero;2025M02;75.009
Total;Irlanda;Viajero;2025M01;70.873
Total;Irlanda;Viajero;2024M12;55.993
Total;Irlanda;Viajero;2024M11;71.137
Total;Irlanda;Viajero;2024M10;156.365
Total;Irlanda;Viajero;2024M09;189.726
Total;Irlanda;Viajero;2024M08;157.370
Total;Irlanda;Viajero;2024M07;166.386
Total;Irlanda;Viajero;2024M06;179.050
Total;Irlanda;Viajero;2024M05;186.613
Total;Irlanda;Viajero;2024M04;136.455
Total;Irlanda;Viajero;2024M03;89.912
Total;Irlanda;Viajero;2024M02;72.555
Total;Irlanda;Viajero;2024M01;68.131
Total;Irlanda;Viajero;2023M12;57.019
Total;Irlanda;Viajero;2023M11;70.387
Total;Irlanda;Viajero;2023M10;146.250
Total;Irlanda;Viajero;2023M09;176.614
Total;Irlanda;Viajero;2023M08;152.649
Total;Irlanda;Viajero;2023M07;154.419
Total;Irlanda;Viajero;2023M06;156.683
Total;Irlanda;Viajero;2023M05;152.793
Total;Irlanda;Viajero;2023M04;126.674
Total;Irlanda;Viajero;2023M03;70.198
Total;Irlanda;Viajero;2023M02;57.047
Total;Irlanda;Viajero;2023M01;52.740
Total;Irlanda;Viajero;2022M12;44.892
Total;Irlanda;Viajero;2022M11;58.029
Total;Irlanda;Viajero;2022M10;117.981
Total;Irlanda;Viajero;2022M09;154.968
Total;Irlanda;Viajero;2022M08;128.508
Total;Irlanda;Viajero;2022M07;135.486
Total;Irlanda;Viajero;2022M06;137.175
Total;Irlanda;Viajero;2022M05;133.430
Total;Irlanda;Viajero;2022M04;99.375
Total;Irlanda;Viajero;2022M03;60.501
Total;Irlanda;Pernoctaciones;2025M03;395.626
Total;Irlanda;Pernoctaciones;2025M02;341.776
Total;Irlanda;Pernoctaciones;2025M01;359.451
Total;Irlanda;Pernoctaciones;2024M12;268.811
Total;Irlanda;Pernoctaciones;2024M11;326.976
Total;Irlanda;Pernoctaciones;2024M10;725.431
Total;Irlanda;Pernoctaciones;2024M09;884.399
Total;Irlanda;Pernoctaciones;2024M08;831.162
Total;Irlanda;Pernoctaciones;2024M07;917.295
Total;Irlanda;Pernoctaciones;2024M06;892.946
Total;Irlanda;Pernoctaciones;2024M05;827.877
Total;Irlanda;Pernoctaciones;2024M04;556.977
Total;Irlanda;Pernoctaciones;2024M03;403.321
Total;Irlanda;Pernoctaciones;2024M02;331.926
Total;Irlanda;Pernoctaciones;2024M01;342.315
Total;Irlanda;Pernoctaciones;2023M12;268.118
Total;Irlanda;Pernoctaciones;2023M11;334.179
Total;Irlanda;Pernoctaciones;2023M10;667.551
Total;Irlanda;Pernoctaciones;2023M09;797.076
Total;Irlanda;Pernoctaciones;2023M08;781.883
Total;Irlanda;Pernoctaciones;2023M07;843.580
Total;Irlanda;Pernoctaciones;2023M06;805.595
Total;Irlanda;Pernoctaciones;2023M05;681.894
Total;Irlanda;Pernoctaciones;2023M04;526.043
Total;Irlanda;Pernoctaciones;2023M03;309.428
Total;Irlanda;Pernoctaciones;2023M02;270.757
Total;Irlanda;Pernoctaciones;2023M01;267.148
Total;Irlanda;Pernoctaciones;2022M12;215.052
Total;Irlanda;Pernoctaciones;2022M11;278.862
Total;Irlanda;Pernoctaciones;2022M10;531.972
Total;Irlanda;Pernoctaciones;2022M09;699.535
Total;Irlanda;Pernoctaciones;2022M08;680.463
Total;Irlanda;Pernoctaciones;2022M07;746.222
Total;Irlanda;Pernoctaciones;2022M06;709.437
Total;Irlanda;Pernoctaciones;2022M05;589.362
Total;Irlanda;Pernoctaciones;2022M04;423.287
Total;Irlanda;Pernoctaciones;2022M03;266.880
Total;Italia;Viajero;2025M03;229.774
Total;Italia;Viajero;2025M02;188.839
Total;Italia;Viajero;2025M01;191.989
Total;Italia;Viajero;2024M12;194.592
Total;Italia;Viajero;2024M11;197.559
Total;Italia;Viajero;2024M10;276.110
Total;Italia;Viajero;2024M09;320.814
Total;Italia;Viajero;2024M08;549.553
Total;Italia;Viajero;2024M07;372.076
Total;Italia;Viajero;2024M06;332.534
Total;Italia;Viajero;2024M05;321.732
Total;Italia;Viajero;2024M04;301.247
Total;Italia;Viajero;2024M03;242.774
Total;Italia;Viajero;2024M02;180.397
Total;Italia;Viajero;2024M01;185.269
Total;Italia;Viajero;2023M12;192.995
Total;Italia;Viajero;2023M11;192.385
Total;Italia;Viajero;2023M10;265.751
Total;Italia;Viajero;2023M09;315.872
Total;Italia;Viajero;2023M08;535.344
Total;Italia;Viajero;2023M07;352.978
Total;Italia;Viajero;2023M06;307.839
Total;Italia;Viajero;2023M05;281.024
Total;Italia;Viajero;2023M04;268.582
Total;Italia;Viajero;2023M03;203.945
Total;Italia;Viajero;2023M02;157.089
Total;Italia;Viajero;2023M01;171.322
Total;Italia;Viajero;2022M12;156.910
Total;Italia;Viajero;2022M11;163.395
Total;Italia;Viajero;2022M10;245.017
Total;Italia;Viajero;2022M09;295.884
Total;Italia;Viajero;2022M08;484.390
Total;Italia;Viajero;2022M07;320.514
Total;Italia;Viajero;2022M06;292.664
Total;Italia;Viajero;2022M05;255.672
Total;Italia;Viajero;2022M04;208.141
Total;Italia;Viajero;2022M03;150.285
Total;Italia;Pernoctaciones;2025M03;653.659
Total;Italia;Pernoctaciones;2025M02;553.958
Total;Italia;Pernoctaciones;2025M01;601.576
Total;Italia;Pernoctaciones;2024M12;530.659
Total;Italia;Pernoctaciones;2024M11;551.027
Total;Italia;Pernoctaciones;2024M10;742.425
Total;Italia;Pernoctaciones;2024M09;1.035.250
Total;Italia;Pernoctaciones;2024M08;2.014.359
Total;Italia;Pernoctaciones;2024M07;1.318.854
Total;Italia;Pernoctaciones;2024M06;1.017.193
Total;Italia;Pernoctaciones;2024M05;884.377
Total;Italia;Pernoctaciones;2024M04;818.993
Total;Italia;Pernoctaciones;2024M03;689.604
Total;Italia;Pernoctaciones;2024M02;547.433
Total;Italia;Pernoctaciones;2024M01;580.111
Total;Italia;Pernoctaciones;2023M12;533.064
Total;Italia;Pernoctaciones;2023M11;543.701
Total;Italia;Pernoctaciones;2023M10;714.811
Total;Italia;Pernoctaciones;2023M09;1.013.267
Total;Italia;Pernoctaciones;2023M08;1.903.428
Total;Italia;Pernoctaciones;2023M07;1.240.864
Total;Italia;Pernoctaciones;2023M06;966.271
Total;Italia;Pernoctaciones;2023M05;773.655
Total;Italia;Pernoctaciones;2023M04;739.851
Total;Italia;Pernoctaciones;2023M03;575.925
Total;Italia;Pernoctaciones;2023M02;481.940
Total;Italia;Pernoctaciones;2023M01;541.879
Total;Italia;Pernoctaciones;2022M12;443.467
Total;Italia;Pernoctaciones;2022M11;472.097
Total;Italia;Pernoctaciones;2022M10;681.048
Total;Italia;Pernoctaciones;2022M09;971.011
Total;Italia;Pernoctaciones;2022M08;1.773.605
Total;Italia;Pernoctaciones;2022M07;1.159.710
Total;Italia;Pernoctaciones;2022M06;920.470
Total;Italia;Pernoctaciones;2022M05;690.066
Total;Italia;Pernoctaciones;2022M04;593.722
Total;Italia;Pernoctaciones;2022M03;440.198
Total;Luxemburgo;Viajero;2025M03;6.541
Total;Luxemburgo;Viajero;2025M02;5.180
Total;Luxemburgo;Viajero;2025M01;4.812
Total;Luxemburgo;Viajero;2024M12;5.538
Total;Luxemburgo;Viajero;2024M11;5.701
Total;Luxemburgo;Viajero;2024M10;8.979
Total;Luxemburgo;Viajero;2024M09;11.848
Total;Luxemburgo;Viajero;2024M08;15.544
Total;Luxemburgo;Viajero;2024M07;9.221
Total;Luxemburgo;Viajero;2024M06;8.928
Total;Luxemburgo;Viajero;2024M05;11.681
Total;Luxemburgo;Viajero;2024M04;11.274
Total;Luxemburgo;Viajero;2024M03;6.342
Total;Luxemburgo;Viajero;2024M02;5.001
Total;Luxemburgo;Viajero;2024M01;3.891
Total;Luxemburgo;Viajero;2023M12;5.196
Total;Luxemburgo;Viajero;2023M11;5.262
Total;Luxemburgo;Viajero;2023M10;9.116
Total;Luxemburgo;Viajero;2023M09;11.309
Total;Luxemburgo;Viajero;2023M08;13.730
Total;Luxemburgo;Viajero;2023M07;10.281
Total;Luxemburgo;Viajero;2023M06;11.154
Total;Luxemburgo;Viajero;2023M05;10.068
Total;Luxemburgo;Viajero;2023M04;9.578
Total;Luxemburgo;Viajero;2023M03;5.282
Total;Luxemburgo;Viajero;2023M02;4.893
Total;Luxemburgo;Viajero;2023M01;4.329
Total;Luxemburgo;Viajero;2022M12;5.050
Total;Luxemburgo;Viajero;2022M11;4.436
Total;Luxemburgo;Viajero;2022M10;8.253
Total;Luxemburgo;Viajero;2022M09;9.899
Total;Luxemburgo;Viajero;2022M08;15.901
Total;Luxemburgo;Viajero;2022M07;9.609
Total;Luxemburgo;Viajero;2022M06;9.182
Total;Luxemburgo;Viajero;2022M05;9.902
Total;Luxemburgo;Viajero;2022M04;9.170
Total;Luxemburgo;Viajero;2022M03;4.242
Total;Luxemburgo;Pernoctaciones;2025M03;26.367
Total;Luxemburgo;Pernoctaciones;2025M02;26.903
Total;Luxemburgo;Pernoctaciones;2025M01;24.221
Total;Luxemburgo;Pernoctaciones;2024M12;27.832
Total;Luxemburgo;Pernoctaciones;2024M11;28.363
Total;Luxemburgo;Pernoctaciones;2024M10;42.182
Total;Luxemburgo;Pernoctaciones;2024M09;65.292
Total;Luxemburgo;Pernoctaciones;2024M08;72.420
Total;Luxemburgo;Pernoctaciones;2024M07;41.507
Total;Luxemburgo;Pernoctaciones;2024M06;40.882
Total;Luxemburgo;Pernoctaciones;2024M05;53.843
Total;Luxemburgo;Pernoctaciones;2024M04;53.492
Total;Luxemburgo;Pernoctaciones;2024M03;28.907
Total;Luxemburgo;Pernoctaciones;2024M02;25.070
Total;Luxemburgo;Pernoctaciones;2024M01;24.692
Total;Luxemburgo;Pernoctaciones;2023M12;27.113
Total;Luxemburgo;Pernoctaciones;2023M11;25.420
Total;Luxemburgo;Pernoctaciones;2023M10;41.327
Total;Luxemburgo;Pernoctaciones;2023M09;63.599
Total;Luxemburgo;Pernoctaciones;2023M08;69.858
Total;Luxemburgo;Pernoctaciones;2023M07;46.482
Total;Luxemburgo;Pernoctaciones;2023M06;43.178
Total;Luxemburgo;Pernoctaciones;2023M05;41.755
Total;Luxemburgo;Pernoctaciones;2023M04;43.066
Total;Luxemburgo;Pernoctaciones;2023M03;26.364
Total;Luxemburgo;Pernoctaciones;2023M02;24.972
Total;Luxemburgo;Pernoctaciones;2023M01;25.938
Total;Luxemburgo;Pernoctaciones;2022M12;25.228
Total;Luxemburgo;Pernoctaciones;2022M11;25.820
Total;Luxemburgo;Pernoctaciones;2022M10;36.324
Total;Luxemburgo;Pernoctaciones;2022M09;55.075
Total;Luxemburgo;Pernoctaciones;2022M08;77.771
Total;Luxemburgo;Pernoctaciones;2022M07;43.630
Total;Luxemburgo;Pernoctaciones;2022M06;42.535
Total;Luxemburgo;Pernoctaciones;2022M05;48.182
Total;Luxemburgo;Pernoctaciones;2022M04;43.878
Total;Luxemburgo;Pernoctaciones;2022M03;20.829
Total;Países Bajos;Viajero;2025M03;152.307
Total;Países Bajos;Viajero;2025M02;126.748
Total;Países Bajos;Viajero;2025M01;116.105
Total;Países Bajos;Viajero;2024M12;102.880
Total;Países Bajos;Viajero;2024M11;127.131
Total;Países Bajos;Viajero;2024M10;247.021
Total;Países Bajos;Viajero;2024M09;293.680
Total;Países Bajos;Viajero;2024M08;337.490
Total;Países Bajos;Viajero;2024M07;352.110
Total;Países Bajos;Viajero;2024M06;269.906
Total;Países Bajos;Viajero;2024M05;299.842
Total;Países Bajos;Viajero;2024M04;217.607
Total;Países Bajos;Viajero;2024M03;137.899
Total;Países Bajos;Viajero;2024M02;127.067
Total;Países Bajos;Viajero;2024M01;116.770
Total;Países Bajos;Viajero;2023M12;96.042
Total;Países Bajos;Viajero;2023M11;115.945
Total;Países Bajos;Viajero;2023M10;232.544
Total;Países Bajos;Viajero;2023M09;276.962
Total;Países Bajos;Viajero;2023M08;331.299
Total;Países Bajos;Viajero;2023M07;309.905
Total;Países Bajos;Viajero;2023M06;247.274
Total;Países Bajos;Viajero;2023M05;246.257
Total;Países Bajos;Viajero;2023M04;217.441
Total;Países Bajos;Viajero;2023M03;130.150
Total;Países Bajos;Viajero;2023M02;104.754
Total;Países Bajos;Viajero;2023M01;104.460
Total;Países Bajos;Viajero;2022M12;84.441
Total;Países Bajos;Viajero;2022M11;106.833
Total;Países Bajos;Viajero;2022M10;211.127
Total;Países Bajos;Viajero;2022M09;256.111
Total;Países Bajos;Viajero;2022M08;326.268
Total;Países Bajos;Viajero;2022M07;307.323
Total;Países Bajos;Viajero;2022M06;228.625
Total;Países Bajos;Viajero;2022M05;267.278
Total;Países Bajos;Viajero;2022M04;200.240
Total;Países Bajos;Viajero;2022M03;128.193
Total;Países Bajos;Pernoctaciones;2025M03;599.200
Total;Países Bajos;Pernoctaciones;2025M02;533.644
Total;Países Bajos;Pernoctaciones;2025M01;480.152
Total;Países Bajos;Pernoctaciones;2024M12;424.879
Total;Países Bajos;Pernoctaciones;2024M11;515.610
Total;Países Bajos;Pernoctaciones;2024M10;1.095.827
Total;Países Bajos;Pernoctaciones;2024M09;1.343.263
Total;Países Bajos;Pernoctaciones;2024M08;1.617.558
Total;Países Bajos;Pernoctaciones;2024M07;1.600.557
Total;Países Bajos;Pernoctaciones;2024M06;1.222.064
Total;Países Bajos;Pernoctaciones;2024M05;1.356.459
Total;Países Bajos;Pernoctaciones;2024M04;791.931
Total;Países Bajos;Pernoctaciones;2024M03;548.953
Total;Países Bajos;Pernoctaciones;2024M02;535.759
Total;Países Bajos;Pernoctaciones;2024M01;490.405
Total;Países Bajos;Pernoctaciones;2023M12;398.031
Total;Países Bajos;Pernoctaciones;2023M11;453.594
Total;Países Bajos;Pernoctaciones;2023M10;1.013.787
Total;Países Bajos;Pernoctaciones;2023M09;1.266.504
Total;Países Bajos;Pernoctaciones;2023M08;1.620.348
Total;Países Bajos;Pernoctaciones;2023M07;1.329.781
Total;Países Bajos;Pernoctaciones;2023M06;1.055.908
Total;Países Bajos;Pernoctaciones;2023M05;1.041.196
Total;Países Bajos;Pernoctaciones;2023M04;829.492
Total;Países Bajos;Pernoctaciones;2023M03;502.268
Total;Países Bajos;Pernoctaciones;2023M02;424.906
Total;Países Bajos;Pernoctaciones;2023M01;432.709
Total;Países Bajos;Pernoctaciones;2022M12;355.202
Total;Países Bajos;Pernoctaciones;2022M11;414.227
Total;Países Bajos;Pernoctaciones;2022M10;886.386
Total;Países Bajos;Pernoctaciones;2022M09;1.124.274
Total;Países Bajos;Pernoctaciones;2022M08;1.571.343
Total;Países Bajos;Pernoctaciones;2022M07;1.334.873
Total;Países Bajos;Pernoctaciones;2022M06;1.010.520
Total;Países Bajos;Pernoctaciones;2022M05;1.164.861
Total;Países Bajos;Pernoctaciones;2022M04;760.745
Total;Países Bajos;Pernoctaciones;2022M03;541.843
Total;Polonia;Viajero;2025M03;95.448
Total;Polonia;Viajero;2025M02;95.004
Total;Polonia;Viajero;2025M01;72.292
Total;Polonia;Viajero;2024M12;58.210
Total;Polonia;Viajero;2024M11;74.616
Total;Polonia;Viajero;2024M10;125.600
Total;Polonia;Viajero;2024M09;163.257
Total;Polonia;Viajero;2024M08;155.991
Total;Polonia;Viajero;2024M07;158.727
Total;Polonia;Viajero;2024M06;152.347
Total;Polonia;Viajero;2024M05;147.356
Total;Polonia;Viajero;2024M04;111.462
Total;Polonia;Viajero;2024M03;84.928
Total;Polonia;Viajero;2024M02;77.999
Total;Polonia;Viajero;2024M01;76.597
Total;Polonia;Viajero;2023M12;56.322
Total;Polonia;Viajero;2023M11;70.702
Total;Polonia;Viajero;2023M10;112.801
Total;Polonia;Viajero;2023M09;143.550
Total;Polonia;Viajero;2023M08;131.818
Total;Polonia;Viajero;2023M07;146.803
Total;Polonia;Viajero;2023M06;130.829
Total;Polonia;Viajero;2023M05;115.088
Total;Polonia;Viajero;2023M04;94.301
Total;Polonia;Viajero;2023M03;62.908
Total;Polonia;Viajero;2023M02;60.585
Total;Polonia;Viajero;2023M01;54.889
Total;Polonia;Viajero;2022M12;42.348
Total;Polonia;Viajero;2022M11;48.748
Total;Polonia;Viajero;2022M10;94.042
Total;Polonia;Viajero;2022M09;114.825
Total;Polonia;Viajero;2022M08;109.881
Total;Polonia;Viajero;2022M07;121.357
Total;Polonia;Viajero;2022M06;112.585
Total;Polonia;Viajero;2022M05;89.592
Total;Polonia;Viajero;2022M04;63.343
Total;Polonia;Viajero;2022M03;44.952
Total;Polonia;Pernoctaciones;2025M03;385.357
Total;Polonia;Pernoctaciones;2025M02;433.106
Total;Polonia;Pernoctaciones;2025M01;337.468
Total;Polonia;Pernoctaciones;2024M12;246.314
Total;Polonia;Pernoctaciones;2024M11;282.148
Total;Polonia;Pernoctaciones;2024M10;524.180
Total;Polonia;Pernoctaciones;2024M09;812.722
Total;Polonia;Pernoctaciones;2024M08;838.195
Total;Polonia;Pernoctaciones;2024M07;871.378
Total;Polonia;Pernoctaciones;2024M06;809.490
Total;Polonia;Pernoctaciones;2024M05;636.295
Total;Polonia;Pernoctaciones;2024M04;410.206
Total;Polonia;Pernoctaciones;2024M03;337.971
Total;Polonia;Pernoctaciones;2024M02;345.291
Total;Polonia;Pernoctaciones;2024M01;324.211
Total;Polonia;Pernoctaciones;2023M12;236.583
Total;Polonia;Pernoctaciones;2023M11;271.071
Total;Polonia;Pernoctaciones;2023M10;498.379
Total;Polonia;Pernoctaciones;2023M09;718.880
Total;Polonia;Pernoctaciones;2023M08;704.398
Total;Polonia;Pernoctaciones;2023M07;782.672
Total;Polonia;Pernoctaciones;2023M06;637.338
Total;Polonia;Pernoctaciones;2023M05;506.833
Total;Polonia;Pernoctaciones;2023M04;353.756
Total;Polonia;Pernoctaciones;2023M03;254.447
Total;Polonia;Pernoctaciones;2023M02;269.603
Total;Polonia;Pernoctaciones;2023M01;239.561
